"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1060","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","86.254204","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","12","1","1","381.950500","0","53"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","107.334221","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","31.474932","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","8","1","1","11.353118","0","43"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","2.679158","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.987091","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.445685","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","13","1","1","10.915045","0","103"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","4.052099","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","6.285770","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","6","1","1","3.564283","0","26"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","2.052730","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.573380","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","110","1","1","217.655594","0","4537"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","2.646107","0","13"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","1.888652","0","3"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","21","1","1","14.249653","0","85"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","6","1","1","3.597406","0","17"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","21","1","1","14.762502","0","131"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","12","1","1","8.309505","0","71"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.916592","0","3"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","21","1","1","0.000000","0","85"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","344","1","1","249.607620","0","8427"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","28","2","2","26.249170","0","166"
