"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1060","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","2.649295","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","6.463591","0","11"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","6.492610","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","7.232142","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","8","1","1","13.244566","0","36"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","2.387517","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.651698","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.233410","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","13","1","1","9.190936","0","103"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","2","1","2.773208","0","11"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","4.839087","0","36"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","12","1","1","7.182956","0","89"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","6","1","1","3.622517","0","26"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.600430","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.587736","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","110","18","1","230.314926","0","3846"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","1.692989","0","2"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","6","1","1","3.689639","0","23"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","21","1","1","12.929543","0","212"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","21","1","1","13.017353","0","124"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","12","1","1","7.575665","0","32"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.834021","0","3"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","21","1","1","0.000000","0","124"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","28","2","2","23.425552","0","126"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","3.059478","0","13"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","2.570999","0","11"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","1.211756","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","1.258139","0","3"
"/OpenXR/Devices/M_XRController.M_XRController","21","18","3","3","11.509031","0","70"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","30","9","6","19.216972","0","122"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","1","1","2.438095","0","13"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","91","2","1","67.538597","0","1294"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","75","1","1","57.181175","0","725"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","344","3","1","224.192566","0","8436"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","14","5","1","8.520448","0","83"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","110","1","1","196.787460","0","1392"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","1.367031","0","3"
"/Engine/VREditor/Devices/Oculus/OculusControllerMaterial.OculusControllerMaterial","21","6","1","1","3.798926","0","15"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","1","1","3.775699","0","13"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","14","1","1","11.367710","0","56"
